item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,accuracy_rate,point_rate,weight,speed,ctype,stype1,stype2,clyn,order,img_src,illegal,size
[CL] 악마의 제복,0,코스튬,,2,12,0,0,0,0,0,3,,1,Y,1,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +1,0,코스튬,,4,14,0,0,0,0,0,3,,1,Y,2,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +2,0,코스튬,,6,16,0,0,0,0,0,3,,1,Y,3,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +3,0,코스튬,,8,18,0,0,0,0,0,3,,1,Y,4,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +4,0,코스튬,,10,20,0,0,0,0,0,3,,1,Y,5,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +5,0,코스튬,,12,22,0,0,0,0,0,3,,1,Y,6,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +6,0,코스튬,,14,24,0,0,0,0,0,3,,1,Y,7,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +7,0,코스튬,,17,26,0,0,0,0,0,3,,1,Y,8,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +8,0,코스튬,,20,28,0,0,0,0,0,3,,1,Y,9,/resource/img/CB037.gif,N,
[CL] 악마의 제복 +9,0,코스튬,,23,30,0,0,0,0,0,3,,1,Y,10,/resource/img/CB037.gif,N,
[CL] 천사의 드레스,0,코스튬,,2,12,0,0,0,0,0,3,,1,Y,11,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +1,0,코스튬,,4,14,0,0,0,0,0,3,,1,Y,12,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +2,0,코스튬,,6,16,0,0,0,0,0,3,,1,Y,13,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +3,0,코스튬,,8,18,0,0,0,0,0,3,,1,Y,14,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +4,0,코스튬,,10,20,0,0,0,0,0,3,,1,Y,15,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +5,0,코스튬,,12,22,0,0,0,0,0,3,,1,Y,16,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +6,0,코스튬,,14,24,0,0,0,0,0,3,,1,Y,17,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +7,0,코스튬,,17,26,0,0,0,0,0,3,,1,Y,18,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +8,0,코스튬,,20,28,0,0,0,0,0,3,,1,Y,19,/resource/img/CB038.gif,N,
[CL] 천사의 드레스 +9,0,코스튬,,23,30,0,0,0,0,0,3,,1,Y,20,/resource/img/CB038.gif,N,
