item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size
쥬얼릭 코어 Value1,0,환생악세,11,1,0,0,100,0,0,0,0,12, , ,N,1,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value2,0,환생악세,11,2,0,0,200,0,0,0,0,12, , ,N,2,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value3,0,환생악세,11,3,0,0,300,0,0,0,0,12, , ,N,3,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value4,0,환생악세,11,4,0,0,400,0,0,0,0,12, , ,N,4,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value5,0,환생악세,11,5,0,0,500,0,0,0,0,12, , ,N,5,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value1,0,환생악세,11,1,150,0,0,0,0,0,0,12, , ,N,6,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value2,0,환생악세,11,2,200,0,0,0,0,0,0,12, , ,N,7,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value3,0,환생악세,11,3,250,0,0,0,0,0,0,12, , ,N,8,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value4,0,환생악세,11,4,300,0,0,0,0,0,0,12, , ,N,9,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value5,0,환생악세,11,5,350,0,0,0,0,0,0,12, , ,N,10,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value1,0,환생악세,11,1,0,1,0,0,0,0,0,12, , ,N,11,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value2,0,환생악세,11,2,0,2,0,0,0,0,0,12, , ,N,12,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value3,0,환생악세,11,3,0,3,0,0,0,0,0,12, , ,N,13,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value4,0,환생악세,11,4,0,4,0,0,0,0,0,12, , ,N,14,/resource/img/CB052.gif,N, 
쥬얼릭 코어 Value5,0,환생악세,11,5,0,5,0,0,0,0,0,12, , ,N,15,/resource/img/CB052.gif,N, 
