item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,con,accuracy_rate,point_rate,weight,speed,ctype(분류),stype1(원근부위),stype2(성별),clyn,order,img_src,illegal,size,_id
나무각목,3,없음,1,2,0,0,0,0.95,0.8,3,92,1,2,1,N,0,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/5.gif, , ,5b35917aa844441bf88b2719
참나무 야구방망이,80,없음,1,5,0,0,0,0.8,0.5,4,75,1,2,1,N,1,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif, , ,5b35917aa844441bf88b271a
알루미늄 파이프,190,없음,1,10,0,0,0,0.8,0.95,6,63,1,2,1,N,2,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/9.gif, , ,5b35917aa844441bf88b271b
고급참나무 야구방망이,740,없음,1,15,0,0,0,0.8,0.95,8,70,1,2,1,N,3,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/7.gif, , ,5b35917aa844441bf88b271c
일본도,2800,도검,1,21,0,0,0,0.9,0.7,12,120,1,2,1,N,4,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/13.gif, , ,5b35917aa844441bf88b271d
철퇴,15000,둔기,2,111,0,0,0,0.8,0.6,30,32,1,2,1,N,5,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/16.gif, , ,5b35917aa844441bf88b271e
장검,41000,도검,2,78,0,0,0,0.85,0.7,21,80,1,2,1,N,6,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/19.gif, , ,5b35917aa844441bf88b271f
강철창,92000,장창,2,55,0,0,0,0.77,0.8,25,80,1,2,1,N,7,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif, , ,5b35917aa844441bf88b2720
강철도끼,99000,도끼,2,180,0,0,0,0.75,0.6,33,32,1,2,1,N,8,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/128.gif, , ,5b35917aa844441bf88b2721
양날도끼,140000,도끼,3,353,0,0,0,0.73,0.5,37,32,1,2,1,N,9,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/22.gif, , ,5b35917aa844441bf88b2722
양손검,485000,도검,3,298,0,0,0,0.78,0.6,40,80,1,2,1,N,10,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/25.gif, , ,5b35917aa844441bf88b2723
양손장창,650000,장창,3,129,0,0,0,0.75,0.75,30,80,1,2,1,N,11,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4034.gif, , ,5b35917aa844441bf88b2724
산타보따리,846000,둔기,3,723,0,0,0,0.75,0.4,55,29,1,2,1,N,12,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4095.gif, , ,5b35917aa844441bf88b2725
언필드의 창,1499000,장창,4,231,0,0,0,0.75,0.6,60,80,1,2,1,N,13,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/28.gif, , ,5b35917aa844441bf88b2726
언필드의 검,2830000,도검,4,535,0,0,0,0.8,0.5,48,80,1,2,1,N,14,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4005.gif, , ,5b35917aa844441bf88b2727
언필드의 도끼,3540000,도끼,4,780,0,0,0,0.71,0.45,66,32,1,2,1,N,15,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/131.gif, , ,5b35917aa844441bf88b2728
언필드의 해머,4230000,둔기,4,1310,0,0,0,0.7,0.4,73,26,1,2,1,N,16,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4000.gif, , ,5b35917aa844441bf88b2729
베라모스 블레이드,5540000,도검,5,920,0,0,0,0.73,0.5,75,75,1,2,1,N,17,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/31.gif, , ,5b35917aa844441bf88b272a
베라모스 스피어,12980000,장창,5,398,0,0,0,0.7,0.6,68,75,1,2,1,N,18,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4001.gif, , ,5b35917aa844441bf88b272b
